Destination_Batch,Source_Batch,Gallons_Contributed,Destination_Current_Volume,Destination_Is_On_Hand,Destination_Has_Left
CCASCK25E402,,0,0.0,False,False
CCASDC25CNTR,,0,0.0,False,False
PCAS0024VB01,,0,0.0,False,False
CROSMC250001,,0,0.0,False,False
GWR25-054-0044,,0,0.0,False,False
JMALSE2501,,0,0.0,False,False
CCASSE25E945,,0,0.0,False,False
CMUCV8250001,,0,0.0,False,False
CCAS082532R2,,0,0.0,False,True
CCAS0824BB01,,0,0.0,False,True
CPIGHG250001,,0,0.0,False,False
CREDJW25MFR1,,0,0.0,False,False
CCASMP25E9AB,,0,0.0,False,False
PPIGFL25LEES,,0,0.0,False,False
CCASDC250700,,0,0.0,False,False
CCAS082561R3,,0,0.0,False,True
CWHREG25OAK3,,0,0.0,False,False
CCASSE2410R1,,0,0.0,False,True
CCHACK25B48C,CCHACK250008,0.0,0.0,False,True
PSAB0025LEE1,,0,0.0,False,False
QCHAMP250004,,0,0.0,False,False
CCHAUF25BZ8B,CCHAUF250004,0.0,0.0,False,True
CCHAUF25BZ8B,CCHAUF250006,0.0,0.0,False,True
CCHA12250008,,0,0.0,False,True
GWR25-054-0065,,0,0.0,False,True
PMERFS253236,,0,0.0,False,False
CRED0024AUS1,,0,0.0,False,False
PPIG0025LEE5,,0,0.0,False,False
GWR25-054-0052,,0,0.0,False,False
JMERWM2507,,0,0.0,False,False
CMUCV8250005,,0,0.0,False,False
CCHALW25B1NB,CCHALW250002,0.0,0.0,False,True
CCAS0825E040,,0,0.0,False,True
QCASMS250489,,0,0.0,False,False
CMER152502R1,,0,0.0,False,True
CCAS0025IW01,,0,0.0,False,False
CCAS0825E311,,0,0.0,False,False
PCASAU25E018,,0,0.0,False,False
PCASAU251916,,0,0.0,False,False
PCHAMP250004,,0,0.0,False,True
UCAS15259906,,0,0.0,False,False
QCASMS250107,,0,0.0,False,False
QMERMP250005,,0,0.0,False,False
UMER1525MD08,,0,0.0,False,False
CGRE122527P1,,0,0.0,False,False
CCHACK25B48A,CCHACK250006,0.0,0.0,False,True
QMERMP250127,,0,0.0,False,False
CCHAAR25BF2A,CCHAAR250001,0.0,0.0,False,True
PROSEP250001,,0,0.0,False,False
